By Abstract,By Title,Title
,Y,"A Chest-Laminated Ultrathin and Stretchable E-Tattoo for the Measurement of Electrocardiogram, Seismocardiogram, and Cardiac Time Intervals."
,Y,A Multi-Class ECG Signal Classifier Using a Binarized Depthwise Separable CNN with the Merged Convolutionâ€“Pooling Method
,Y,A new heart sounds segmentation approach based on the correlation between ECG and PCG signals
,Y,A new method for the measurement of pre-ejection period in the human fetus.
,Y,A Novel Approach to ECG Classification Based upon Two-Layered HMMs in Body Sensor Networks
,Y,A Real-Time Wearable Physiological Monitoring System for Home-Based Healthcare Applications
,Y,A Wearable Multi-Sensor Array Enables the Recording of Heart Sounds in Homecare
,Y,Algorithms development for systolic time intervals and clinical assessment of cardiac function
,Y,Assessing Systolic Time-Intervals from Heart Sound: A Feasibility Study
,Y,Assessment of cardiac time intervals by wavelet transform of the impedance cardiogram.
,Y,Automated Identification of Persistent Time-Domain Features in Seismocardiogram Signals
,Y,Automatic analysis of pre-ejection period during sleep using impedance cardiogram.
,Y,Automatic annotation of peaks in seismocardiogram for systolic time intervals
,Y,Automatic ECG Classification Using Continuous Wavelet Transform and Convolutional Neural Network
,Y,Automatic Identification of Systolic Time Intervals in Seismocardiogram.
,Y,Beat-to-beat estimation of LVET and QS2 indices of cardiac mechanics from wearable seismocardiography in ambulant subjects.
,Y,Beat-to-beat evaluation of systolic time intervals during bicycle excercise using impedance cardiography
,Y,Beat-to-beat evaluation of systolic time intervals during bicycle exercise using impedance cardiography.
Y,Y,Beat-to-beat systolic time-interval measurement from heart sounds and ECG.
,Y,Can Seismocardiogram Fiducial Points Be Used for the Routine Estimation of Cardiac Time Intervals in Cardiac Patients?
,Y,Cardiac Time Intervals Derived from Electrocardiography and Seismocardiography in Different Patient Groups
,Y,Cardiac Time Intervals under Motion Using Bimodal Chest E-Tattoos and Multistage Processing
,Y,Cardiac Triangle Mapping: A New Systems Approach for Noninvasive Evaluation of Left Ventricular End Diastolic Pressure
,Y,Changes in left ventricular ejection time and pulse transit time derived from finger photoplethysmogram and electrocardiogram during moderate haemorrhage.
,Y,Comparison of Different Methods for Estimating Cardiac Timings: A Comprehensive Multimodal Echocardiography Investigation.
Y,Y,Comparison of systolic time interval measurement modalities for portable devices.
,Y,Computational Algorithms Underlying the Time-Based Detection of Sudden Cardiac Arrest via Electrocardiographic Markers
,Y,Current and Future Use of Artificial Intelligence in Electrocardiography
,Y,Data-driven approach for automatic detection of aortic valve opening: B point detection from impedance cardiogram.
,Y,Deep Learning Strategy for Sliding ECG Analysis during Cardiopulmonary Resuscitation: Influence of the Hands-Off Time on Accuracy
,Y,Delineation of 12-Lead ECG Representative Beats Using Convolutional Encoderâ€“Decoders with Residual and Recurrent Connections
,Y,Detecting heart failure using novel bio-signals and a knowledge enhanced neural network
,Y,Detection of Aortic Valve Opening and Estimation of Pre-Ejection Period in Forcecardiography Recordings.
,Y,Development of A Low-Cost Real-Time Bioelectrical Signal Acquisition Module
,Y,Discrimination of Patients with Varying Degrees of Coronary Artery Stenosis by ECG and PCG Signals Based on Entropy.
,Y,Dual-Mode Chest Wearable E-Tattoo for the Mobile Detection of Cardiac Time Intervals
,Y,ECG Identification Based on Non-Fiducial Feature Extraction Using Window Removal Method
,Y,Electrocardiographic and other Noninvasive Hemodynamic Markers in Decompensated CHF Patients
,Y,Estimation of Beat-to-Beat Interval and Systolic Time Intervals Using Phono- and Seismocardiograms.
,Y,Evaluation of left ventricular systolic function using synchronized analysis of heart sounds and the electrocardiogram.
Y,Y,Features extraction from cardiac-related signals: Comparison among different measurement methods
,Y,Heart sound-derived systolic time intervals for atrioventricular delay optimization in cardiac resynchronization therapy.
,Y,Implementation of Wavelet-Transform-Based Algorithms in an FPGA for Heart Rate and RT Interval Automatic Measurements in Real Time: Application in a Long-Term Ambulatory Electrocardiogram Monitor
,Y,Improved Pre-Ejection Period Estimation From Ballistocardiogram and Electrocardiogram Signals by Fusing Multiple Timing Interval Features
,Y,Improvement of Left Ventricular Ejection Time Measurement in the Impedance Cardiography Combined with the Reflection Photoplethysmography.
